iter	Passed	Remaining
400	14573	21769
401	14597	21714
402	14622	21660
403	14644	21603
404	14665	21545
405	14687	21488
406	14707	21428
407	14728	21370
408	14754	21319
409	14776	21264
410	14796	21204
411	14819	21149
412	14845	21099
413	14865	21042
414	14886	20984
415	14909	20931
416	14932	20876
417	14958	20826
418	14980	20772
419	15004	20720
420	15024	20662
421	15046	20608
422	15070	20557
423	15090	20499
424	15110	20443
425	15134	20392
426	15155	20337
427	15180	20288
428	15203	20235
429	15226	20184
430	15248	20131
431	15273	20082
432	15297	20031
433	15321	19980
434	15340	19924
435	15364	19875
436	15388	19825
437	15408	19770
438	15432	19721
439	15455	19670
440	15477	19619
441	15500	19567
442	15521	19515
443	15541	19461
444	15564	19412
445	15586	19360
446	15607	19308
447	15630	19258
448	15651	19207
449	15671	19154
450	15694	19105
451	15717	19055
452	15741	19008
453	15762	18956
454	15783	18905
455	15807	18858
456	15830	18809
457	15851	18758
458	15873	18709
459	15894	18658
460	15918	18612
461	15941	18563
462	15966	18518
463	15986	18467
464	16009	18419
465	16034	18373
466	16060	18329
467	16081	18280
468	16108	18238
469	16144	18205
470	16179	18171
471	16209	18132
472	16243	18097
473	16268	18053
474	16297	18013
475	16332	17979
476	16359	17936
477	16384	17893
478	16413	17852
479	16440	17810
480	16464	17764
481	16493	17724
482	16520	17683
483	16544	17638
484	16568	17592
485	16593	17549
486	16618	17505
487	16643	17461
488	16665	17415
489	16688	17370
490	16709	17322
491	16733	17277
492	16760	17236
493	16785	17193
494	16805	17144
495	16827	17098
496	16851	17054
497	16870	17006
498	16894	16962
499	16916	16916
500	16936	16868
501	16961	16826
502	16983	16780
503	17003	16734
504	17025	16688
505	17051	16646
506	17075	16603
507	17097	16559
508	17117	16512
509	17138	16466
510	17164	16425
511	17183	16377
512	17203	16331
513	17225	16287
514	17250	16245
515	17271	16200
516	17296	16159
517	17315	16112
518	17336	16066
519	17360	16025
520	17383	15982
521	17404	15937
522	17428	15896
523	17449	15850
524	17471	15807
525	17494	15764
526	17512	15718
527	17533	15673
528	17560	15635
529	17581	15590
530	17601	15546
531	17625	15505
532	17646	15461
533	17667	15418
534	17692	15377
535	17712	15333
536	17733	15289
537	17757	15249
538	17781	15208
539	17801	15164
540	17824	15123
541	17846	15080
542	17871	15040
543	17892	14998
544	17913	14955
545	17938	14915
546	17959	14873
547	17982	14832
548	18005	14791
549	18029	14751
550	18051	14709
551	18077	14671
552	18103	14633
553	18129	14595
554	18150	14553
555	18175	14514
556	18203	14477
557	18227	14438
558	18247	14395
559	18273	14357
560	18298	14318
561	18329	14285
562	18362	14253
563	18392	14218
564	18422	14183
565	18451	14147
566	18476	14109
567	18501	14071
568	18525	14032
569	18551	13994
570	18577	13957
571	18602	13919
572	18625	13880
573	18646	13839
574	18669	13799
575	18689	13757
576	18709	13715
577	18732	13676
578	18756	13637
579	18779	13598
580	18800	13558
581	18823	13519
582	18845	13479
583	18867	13439
584	18890	13400
585	18911	13360
586	18937	13324
587	18964	13288
588	18989	13250
589	19008	13209
590	19033	13171
591	19056	13133
592	19080	13095
593	19101	13055
594	19122	13016
595	19149	12980
596	19171	12941
597	19193	12902
598	19217	12865
599	19244	12829
600	19274	12796
601	19299	12759
602	19328	12725
603	19359	12692
604	19388	12658
605	19419	12625
606	19447	12591
607	19475	12556
608	19497	12517
609	19516	12477
610	19540	12440
611	19564	12403
612	19584	12363
613	19607	12326
614	19628	12287
615	19650	12249
616	19671	12211
617	19696	12174
618	19720	12138
619	19742	12100
620	19762	12061
621	19785	12024
622	19810	11987
623	19829	11948
624	19851	11910
625	19873	11873
626	19896	11836
627	19922	11800
628	19942	11762
629	19969	11727
630	19993	11691
631	20016	11655
632	20041	11619
633	20061	11581
634	20082	11543
